symbol,version
HcnModifyGuestNetworkService,10.0.22000
HcnRegisterGuestNetworkServiceCallback,10.0.22000
HcnReleaseGuestNetworkServicePortReservationHandle,10.0.22000
HcnReserveGuestNetworkServicePort,10.0.22000
HcnReserveGuestNetworkServicePortRange,10.0.22000
HcnUnregisterGuestNetworkServiceCallback,10.0.22000
HdvCreateSectionBackedMmioRange,10.0.22000
HdvDestroySectionBackedMmioRange,10.0.22000
HidP_GetButtonArray,10.0.22000
HidP_GetVersionInternal,10.0.22000
HidP_SetButtonArray,10.0.22000
InternalGetChromaticAdaptationMatrixForDisplay,10.0.22000
IsIoRingOpSupported,10.0.22000
JetRBSCancelRevert,10.0.22000
JetRBSExecuteRevert,10.0.22000
JetRBSPrepareRevert,10.0.22000
LsaInvokeTrustScanner,10.0.22000
LsaQueryForestTrustInformation2,10.0.22000
LsaSetForestTrustInformation2,10.0.22000
MFCreateCameraOcclusionStateMonitor,10.0.22000
MFCreateD3D12SynchronizationObject,10.0.22000
MFCreateVirtualCamera,10.0.22000
MFIsVirtualCameraTypeSupported,10.0.22000
NtCreateIoRing,10.0.22000
NtQueryIoRingCapabilities,10.0.22000
NtSetInformationIoRing,10.0.22000
NtSubmitIoRing,10.0.22000
PopIoRingCompletion,10.0.22000
QueryIoRingCapabilities,10.0.22000
RasRemoveToastNotification,10.0.22000
RasShowToastNotificationEx,10.0.22000
RegisterMeetNowWindow,10.0.22000
ReleasePackageVirtualizationContext,10.0.22000
RemovePackageDependency,10.0.22000
RoCreateNonAgilePropertySet,10.0.22000
RoCreatePropertySetSerializer,10.0.22000
RouterInstallPrinterDriverPackageFromConnection,10.0.22000
RpcBindingInqMaxCalls,10.0.22000
RtlFindClearBitsAndSetEx,10.0.22000
RtlGetImageFileMachines,10.0.22000
RtlIsEnclaveFeaturePresent,10.0.22000
RtlOpenCrossProcessEmulatorWorkConnection,10.0.22000
SampFlagsToAccountControlEx,10.0.22000
SampSetCheckpointInfo,10.0.22000
